# pre- candidates (497 total)
# Format: candidate -> root
# Mark FALSE POSITIVES with FP, KEEP with ok, BORDERLINE with ?

preabsorb                           -> absorb
preconcert                          -> concert
precondemn                          -> condemn
precondition                        -> condition
preconfigure                        -> configure
preconfirm                          -> confirm
preconform                          -> conform
preconnect                          -> connect
preconquer                          -> conquer
preconsider                         -> consider
preconsign                          -> consign
preconsolidate                      -> consolidate
preconstitute                       -> constitute
preconstruct                        -> construct
preconsume                          -> consume
precontact                          -> contact
precontract                         -> contract
precontrive                         -> contrive
preconvert                          -> convert
preconvey                           -> convey
preconvict                          -> convict
precook                             -> cook
precool                             -> cool
precopy                             -> copy
precorrect                          -> correct
precounsel                          -> counsel
precount                            -> count
precover                            -> cover
precrack                            -> crack
precrease                           -> crease
precue                              -> cue
preculture                          -> culture
precum                              -> cum
precure                             -> cure
precurse                            -> curse
precut                              -> cut
precycle                            -> cycle
predamage                           -> damage
predamn                             -> damn
predate                             -> date
predecease                          -> decease
predecide                           -> decide
predeclare                          -> declare
predecode                           -> decode
prededuct                           -> deduct
predefine                           -> define
predeliberate                       -> deliberate
predeliver                          -> deliver
predeposit                          -> deposit
predescribe                         -> describe
predesign                           -> design
predesignate                        -> designate
predestinate                        -> destinate
predestine                          -> destine
predetect                           -> detect
predevelop                          -> develop
predial                             -> dial
predigest                           -> digest
predilate                           -> dilate
predilute                           -> dilute
predimerize                         -> dimerize
predischarge                        -> discharge
predisclose                         -> disclose
prediscover                         -> discover
prediscuss                          -> discuss
predispense                         -> dispense
predispose                          -> dispose
predivine                           -> divine
predominate                         -> dominate
predoom                             -> doom
predose                             -> dose
predraft                            -> draft
predrill                            -> drill
predub                              -> dub
preduplicate                        -> duplicate
predye                              -> dye
preedit                             -> edit
preelect                            -> elect
preemploy                           -> employ
preempt                             -> empt
preenact                            -> enact
preengage                           -> engage
preequilibrate                      -> equilibrate
preestablish                        -> establish
preexamine                          -> examine
preexchange                         -> exchange
preexcite                           -> excite
preexist                            -> exist
preexpose                           -> expose
preextract                          -> extract
prefab                              -> fab
prefabricate                        -> fabricate
preface                             -> face
prefade                             -> fade
prefashion                          -> fashion
prefeed                             -> feed
prefetch                            -> fetch
prefigurate                         -> figurate
prefigure                           -> figure
prefile                             -> file
prefill                             -> fill
prefilter                           -> filter
prefinance                          -> finance
prefine                             -> fine
prefinish                           -> finish
prefit                              -> fit
preflight                           -> flight
prefocus                            -> focus
prefog                              -> fog
prefold                             -> fold
prefork                             -> fork
preform                             -> form
preformat                           -> format
preformulate                        -> formulate
prefreeze                           -> freeze
pregage                             -> gage
pregame                             -> game
pregelatinize                       -> gelatinize
pregenerate                         -> generate
preglottalize                       -> glottalize
pregrab                             -> grab
pregrease                           -> grease
pregrill                            -> grill
pregrind                            -> grind
pregroup                            -> group
preharden                           -> harden
prehatch                            -> hatch
preheat                             -> heat
prehend                             -> hend
prehybridize                        -> hybridize
prehydrate                          -> hydrate
preilluminate                       -> illuminate
preimagine                          -> imagine
preimbibe                           -> imbibe
preimmunize                         -> immunize
preimpose                           -> impose
preincline                          -> incline
preinclude                          -> include
preincorporate                      -> incorporate
preincubate                         -> incubate
preindicate                         -> indicate
preinduce                           -> induce
preinfest                           -> infest
preinform                           -> inform
preinitialize                       -> initialize
preinject                           -> inject
preinoculate                        -> inoculate
preinsert                           -> insert
preinspect                          -> inspect
preinstall                          -> install
preinstruct                         -> instruct
preinterpret                        -> interpret
preinterview                        -> interview
preintone                           -> intone
preinvestigate                      -> investigate
preionize                           -> ionize
preisolate                          -> isolate
prejudicate                         -> judicate
prelay                              -> lay
prelease                            -> lease
prelegate                           -> legate
prelight                            -> light
prelimit                            -> limit
prelist                             -> list
prelisten                           -> listen
prelitter                           -> litter
prelive                             -> live
preload                             -> load
prelocalize                         -> localize
prelocate                           -> locate
prelude                             -> lude
premachine                          -> machine
premail                             -> mail
premake                             -> make
premanufacture                      -> manufacture
premaster                           -> master
premasticate                        -> masticate
prematch                            -> match
premate                             -> mate
premeasure                          -> measure
premediate                          -> mediate
premedicate                         -> medicate
premeditate                         -> meditate
premelt                             -> melt
premerit                            -> merit
premilk                             -> milk
premine                             -> mine
premise                             -> mise
premix                              -> mix
premodify                           -> modify
premodulate                         -> modulate
premoisten                          -> moisten
premold                             -> mold
premonish                           -> monish
premonitor                          -> monitor
premonstrate                        -> monstrate
premount                            -> mount
premove                             -> move
premultiply                         -> multiply
premutate                           -> mutate
prename                             -> name
prenasalize                         -> nasalize
preneutralize                       -> neutralize
prenominate                         -> nominate
prenote                             -> note
prenotify                           -> notify
prenumber                           -> number
preobtain                           -> obtain
preoccupate                         -> occupate
preoccupy                           -> occupy
preominate                          -> ominate
preopsonize                         -> opsonize
preoptimize                         -> optimize
preordain                           -> ordain
preorder                            -> order
preorganize                         -> organize
preoutfit                           -> outfit
preoxygenate                        -> oxygenate
prepack                             -> pack
prepackage                          -> package
prepaint                            -> paint
preparse                            -> parse
prepartition                        -> partition
prepaste                            -> paste
prepatch                            -> patch
prepay                              -> pay
prepend                             -> pend
preperceive                         -> perceive
prephosphorylate                    -> phosphorylate
preplace                            -> place
preplan                             -> plan
preplant                            -> plant
preplay                             -> play
prepolymerize                       -> polymerize
preponder                           -> ponder
preponderate                        -> ponderate
prepopulate                         -> populate
preport                             -> port
preportion                          -> portion
prepossess                          -> possess
preprepare                          -> prepare
preprice                            -> price
preprint                            -> print
preprocess                          -> process
preproduce                          -> produce
preprogram                          -> program
preproperate                        -> properate
preprovide                          -> provide
preprovision                        -> provision
prepublish                          -> publish
prepulse                            -> pulse
prepunch                            -> punch
prepunish                           -> punish
prepurchase                         -> purchase
prequalify                          -> qualify
prerandomize                        -> randomize
preread                             -> read
prerecord                           -> record
preregister                         -> register
prerelax                            -> relax
prerelease                          -> release
prerequire                          -> require
preresolve                          -> resolve
prereview                           -> review
prerig                              -> rig
prerinse                            -> rinse
preroll                             -> roll
preroute                            -> route
prerun                              -> run
presage                             -> sage
presatiate                          -> satiate
presatisfy                          -> satisfy
presaturate                         -> saturate
prescale                            -> scale
prescan                             -> scan
preschedule                         -> schedule
preschool                           -> school
prescore                            -> score
prescreen                           -> screen
preseason                           -> season
presection                          -> section
preseed                             -> seed
presegregate                        -> segregate
preselect                           -> select
presell                             -> sell
presend                             -> send
presensitize                        -> sensitize
presentence                         -> sentence
presequence                         -> sequence
preserve                            -> serve
preset                              -> set
presettle                           -> settle
presew                              -> sew
preshadow                           -> shadow
preshape                            -> shape
presharpen                          -> sharpen
preshift                            -> shift
preshorten                          -> shorten
preshow                             -> show
preshrink                           -> shrink
preside                             -> side
presift                             -> sift
presign                             -> sign
presignify                          -> signify
presiliconize                       -> siliconize
preslice                            -> slice
preslug                             -> slug
presmooth                           -> smooth
presoak                             -> soak
presoften                           -> soften
presolubilize                       -> solubilize
presolve                            -> solve
presorb                             -> sorb
presort                             -> sort
prespecify                          -> specify
presplit                            -> split
presprinkle                         -> sprinkle
prestabilize                        -> stabilize
prestamp                            -> stamp
prestandardize                      -> standardize
prestate                            -> state
presteam                            -> steam
presterilize                        -> sterilize
prestimulate                        -> stimulate
prestraighten                       -> straighten
prestrengthen                       -> strengthen
prestress                           -> stress
prestretch                          -> stretch
prestructure                        -> structure
prestudy                            -> study
presubmit                           -> submit
presupply                           -> supply
presuppose                          -> suppose
presurmise                          -> surmise
preswab                             -> swab
presweeten                          -> sweeten
preswell                            -> swell
pretabulate                         -> tabulate
pretan                              -> tan
pretape                             -> tape
pretarget                           -> target
pretaste                            -> taste
pretax                              -> tax
pretell                             -> tell
pretend                             -> tend
pretender                           -> tender
pretension                          -> tension
pretest                             -> test
pretexture                          -> texture
prethermalize                       -> thermalize
prethin                             -> thin
prethread                           -> thread
pretighten                          -> tighten
pretrain                            -> train
pretranscribe                       -> transcribe
pretransform                        -> transform
pretransmit                         -> transmit
pretreat                            -> treat
pretrim                             -> trim
pretune                             -> tune
pretype                             -> type
pretypify                           -> typify
prevaccinate                        -> vaccinate
prevail                             -> vail
prevalidate                         -> validate
prevascularize                      -> vascularize
prevent                             -> vent
preverify                           -> verify
prevet                              -> vet
preview                             -> view
prevint                             -> vint
prevision                           -> vision
previsit                            -> visit
previsualize                        -> visualize
prevoice                            -> voice
prewarm                             -> warm
prewarn                             -> warn
prewash                             -> wash
prewatch                            -> watch
preweight                           -> weight
prewet                              -> wet
prewhip                             -> whip
prewhiten                           -> whiten
prewire                             -> wire
prewrap                             -> wrap
prewrite                            -> write
prezone                             -> zone
